nid	module	name
09de25fd	cellSail	cellSailPlayerIsEsAudioMuted
09e73a2a		_ZNKSt7codecvtIwcSt9_MbstatetE11do_encodingEv
09f9e1a9	sceNpClans	sceNpClansUpdateClanInfo
0a1d4b00		spu_thread_read_uint
0a2069c7	cellResc	cellRescGetNumColorBuffers
0a242ed5		sinf4
0a25b6c8	cellFiber	cellFiberPpuContextEnterScheduler
0a331920		_Clocale
0a373522	cellPrintUtility	cellPrintSendBand
0a3ea2a9	cellSailRec	cellSailRecorderSetParameter
0a4c8295	cellSearchUtility	cellSearchStartListSearch
0a4e2541		spu_thread_read_ldouble
0a563878	cellVoice	cellVoiceStart
0a7306a4	cellFont	cellFontOpenFontFile
0a862772	cellGcmSys	cellGcmSetQueueHandler
0aa1b8de	cell_FreeType2	FT_Vector_Rotate
0aadf8d3	libsnd3	cellSnd3VoiceGetStatus
0abb318b	cellSail	cellSailDescriptorCreateDatabase
0ae275a4		_Stolx
0af56d94	cell_FreeType2	FT_Set_MM_Design_Coordinates
0b017e2b	sys_net	_sce_net_add_name_server
0b0d272f		_malloc_finalize
0b168f92	cellAudio	cellAudioInit
0b2218a3	sceNp2	sceNpMatching2GetLobbyMemberDataInternalList
0b2e15ed		_malloc_limit
0b3f4e90		catanhf
0b411261	cell_FreeType2	FTC_Manager_LookupFace
0b45cd84	cellSysutilAvc2	cellSysutilAvc2ShowScreen
0b461648	cellMusicUtility	cellMusicGetSelectionContext
0b4b62d5	cellGcmSys	cellGcmSetPrepareFlip
0b8d63ae	cellSysutil	cellSysutilPacketEnd
0b9d04d0		_Getnloc
0b9ecb98		toupper_ascii
0b9fea5f	cellHttp	cellHttpRequestGetHeader
0ba5483c		_ZNKSt12codecvt_base11do_encodingEv
0bae8772	cellSysutil	cellVideoOutConfigure
0baf90fe	cellFont	cellFontGetRenderScaledKerning
0bb036a6		_cosf4
0bc08c57		_ZNKSt7collateIwE7do_hashEPKwS2_
0bc386c8	cellL10n	ToSjisLower
0bcc1910		_ZNSt10ostrstreamD2Ev
0bddef7d	cellSysutilAvconfExt	cellAudioOutUnregisterDevice
0bedf77d	cellL10n	UCS2toGB18030
0bf867e2	cellL10n	HZstoUCS2s
0c08dd3a	cell_FreeType2	FTC_Manager_New
0c14cfcc		fesetenv
0c2983ac	cellSync2	cellSync2SemaphoreRelease
0c316b87	cellSysutil	cellWebBrowserConfigGetHeapSize2
0c44f441	cellFiber	cellFiberPpuYield
0c4cb439	cellSail	cellSailFutureReset
0c515302	cellPngDec	cellPngDecExtOpen
0c7cb9f7	cellSync	cellSyncLFQueueGetEntrySize
0c8cae53	cell_FreeType2	FT_Stroker_Done
0c8ec006	libsnd3	cellSnd3VoiceSetPanpot
0c9a0ea9	cellSync2	cellSync2QueueTryPop
0c9b8305		hypotf4
0cae547f		raw_spu_write_double
0cbdae68		sinf
0cbedf6a	cellCamera	cellCameraClosePost
0ce13c6b	cellNetCtl	cellNetCtlAddHandler
0ce278fd	cellL10n	UCS2stoHZs
0cf2b78b	cellJpgEnc	cellJpgEncReset
0cf9b8bd		_Erfc
0d0c2f0c	cellSail	cellSailDescriptorSetEs
0d106a11	cellFont	cellFontGetRenderScalePixel
0d10fd3f		module_prologue
0d15043b	sceNpTus	sceNpTusGetMultiUserVariable
0d22867f	sceNp2	sceNpMatching2SearchRoom
0d2a593b		srand
0d38e130	cellSsl	SSL_get_rbio
0d3c22ce	cellResc	cellRescSetWaitFlip
0d4290d2		_ZNSt12length_errorD0Ev
0d44f661	cellPrintUtility	cellPrintEndPage
0d5b4a14	sys_fs	cellFsReadWithOffset
0d5f2c14	sys_io	cellPadClearBuf
0d644dca		_ZNKSt8time_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEE11do_get_dateES3_S3_RSt8ios_baseRNSt5_IosbIiE8_IostateEPSt2tm
0d69929e	cellSpursJq	_cellSpursJobQueueAllocateJobDescriptorBody
0d846d63	cellHttp	cellHttpCookieImportWithClientId
0d86295d		_LCaddcr
0d884b17	libad_core	sceAdOpenContext
0d896b97	cellHttp	cellHttpSetProxy
0d8a2de0		_CStrxfrm
0d90a48d	cellL10n	UCS2stoSJISs
0d9c65be	cellHttp	cellHttpClientGetAllHeaders
0dbb3f51	cellSsl	SSL_clear
0df25834	sceNpClans	sceNpClansRetrieveChallenges
0df8809f		__call_functions_registered_with_atexit
0dfbadfa	cellKey2char	cellKey2CharSetArrangement
0e091c36	cellSysutil	cellSaveDataUserListAutoSave
0e147a9d		_ZNSt13basic_filebufIwSt11char_traitsIwEE9pbackfailEi
0e2939e5	sys_fs	cellFsFtruncate
0e2dfaad	sys_io	cellPadInfoPressMode
0e363ae7	cellImeJpUtility	cellImeJpGetFocusTop
0e53319f		_asinf4
0e5fe585	cellGcmSys	cellGcmSetFlipHandler2
0e63c444	cellCamera	cellCameraGetBufferInfoEx
0e6b0dae	cellGcmSys	cellGcmGetDisplayInfo
0e744ef5		_ZNSt9money_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEED1Ev
0e8573dc		expm1l
0e9698af		_ZNSt7codecvtIwcSt9_MbstatetED1Ev
0e9a5554		_ZNSt13basic_istreamIwSt11char_traitsIwEED0Ev
0eb4bc38	cellSpurs	cellSpursWorkloadAttributeSetShutdownCompletionEventHook
0ebe4c6b	sceNp2	sceNpMatching2SignalingGetConnectionStatus
0ecd2261	libgem	cellGemUpdateStart
0ef17399	cellHttp	cellHttpTransactionGetUri
0f02f882		llrintl
0f03cfb0	cellSysutil	cellSaveDataUserListSave
0f03f712	cellSpursJq	cellSpursJobQueueAttributeSetSubmitWithEntryLock
0f1f13d3	cellNetCtl	cellNetCtlNetStartDialogUnloadAsync
0f411262	cellUsbd	cellUsbdInterruptTransfer
0f424ecb	cellPhotoDecodeUtil	cellPhotoDecodeInitialize2
0f428f0f		rint
0f5a2afb	cellSysutilAvc2	cellSysutilAvc2GetVideoMuting
0f60eb63		vfwscanf
0f624540	cellL10n	kuten2eucjp
0f6ab57b	cellCelp8Enc	cellCelp8EncStart
0f721a9d		_LCsubcc
0f7b3b6d	cellUsbPspcm	cellUsbPspcmEnd
0f8a3b6b	cellSysutil	cellWebBrowserConfigSetMimeSet
0f930fdd		_ZNSt13messages_baseD2Ev
0f9667b6	cellAtrac	cellAtracGetChannel
0fbc732d		_Zero
0ff264b9		_ZNSt15basic_streambufIcSt11char_traitsIcEE4syncEv
0ff4722c		raw_spu_read_ushort
0ffb4665	cellAtracMulti	cellAtracMultiCreateDecoder
1022e6d6	sceNp2	sceNpMatching2SetUserInfo
10231873		_ZNSt13runtime_errorD1Ev
10298371	cellSail	cellSailAviMovieGetHeader
103b8632	sys_fs	cellFsAllocateFileAreaWithInitialData
103d6b46	cellSysutilAvc2	cellSysutilAvc2GetWindowAttribute
104551a6	sceNpCommerce2	sceNpCommerce2DoCheckoutStartAsync
1051d134	cellSpurs	cellSpursAttributeEnableSpuPrintfIfAvailable
